101.61, 85, 18, 1410, 1593, 53
101.61, 85, 18, 1410, 1593, 53
101.61, 85, 18, 1410, 1593, 53
89.93, 85, 18, 1410, 1593, 55
89.93, 85, 18, 1410, 1593, 55
465.19, 11, 3, 1410, 1593, 59
465.19, 11, 3, 1410, 1593, 59
474.86, 11, 3, 1410, 1593, 60
474.86, 11, 3, 1410, 1593, 60
481.85, 76, 23, 1410, 1593, 61
481.85, 76, 23, 1410, 1593, 61
480.84, 76, 23, 1410, 1593, 62
480.84, 76, 23, 1410, 1593, 62
478.64, 99, 29, 1410, 1593, 62
478.64, 99, 29, 1410, 1593, 62
478.64, 99, 29, 1410, 1593, 63
478.64, 99, 29, 1410, 1593, 63
479.72, 99, 29, 1410, 1593, 63
479.72, 99, 29, 1410, 1593, 63
479.96, 99, 29, 1410, 1593, 63
479.96, 99, 29, 1410, 1593, 63
485.94, 99, 29, 1410, 1593, 63
485.94, 99, 29, 1410, 1593, 63
477.04, 99, 29, 1410, 1593, 64
477.04, 99, 29, 1410, 1593, 64
484.02, 99, 29, 1410, 1593, 64
484.02, 99, 29, 1410, 1593, 64
479.19, 99, 29, 1410, 1593, 64
479.19, 99, 29, 1410, 1593, 64
485.11, 99, 29, 1410, 1593, 64
485.11, 99, 29, 1410, 1593, 64
481.37, 99, 29, 1410, 1593, 64
481.37, 99, 29, 1410, 1593, 64
475.96, 99, 29, 1410, 1593, 64
475.96, 99, 29, 1410, 1593, 64
480.54, 99, 29, 1410, 1593, 64
480.54, 99, 29, 1410, 1593, 64
486.71, 99, 29, 1410, 1593, 64
486.71, 99, 29, 1410, 1593, 64
485.64, 99, 29, 1410, 1593, 64
485.64, 99, 29, 1410, 1593, 64
477.02, 99, 29, 1410, 1593, 64
477.02, 99, 29, 1410, 1593, 64
480.78, 99, 29, 1410, 1593, 65
480.78, 99, 29, 1410, 1593, 65
479.96, 99, 29, 1410, 1593, 65
479.96, 99, 29, 1410, 1593, 65
486.43, 99, 29, 1410, 1593, 65
486.43, 99, 29, 1410, 1593, 65
480.54, 99, 29, 1410, 1593, 65
480.54, 99, 29, 1410, 1593, 65
485.40, 99, 29, 1410, 1593, 65
485.40, 99, 29, 1410, 1593, 65
479.96, 99, 29, 1410, 1593, 65
479.96, 99, 29, 1410, 1593, 65
481.85, 99, 29, 1410, 1593, 65
481.85, 99, 29, 1410, 1593, 65
476.78, 99, 29, 1410, 1593, 65
476.78, 99, 29, 1410, 1593, 65
485.61, 99, 29, 1410, 1593, 65
485.61, 99, 29, 1410, 1593, 65
482.13, 99, 29, 1410, 1593, 65
482.13, 99, 29, 1410, 1593, 65
486.43, 99, 29, 1410, 1593, 65
486.43, 99, 29, 1410, 1593, 65
481.63, 99, 29, 1410, 1593, 65
481.63, 99, 29, 1410, 1593, 65
485.37, 99, 29, 1410, 1593, 65
485.37, 99, 29, 1410, 1593, 65
479.46, 99, 29, 1410, 1593, 65
479.46, 99, 29, 1410, 1593, 65
489.17, 99, 29, 1410, 1593, 65
489.17, 99, 29, 1410, 1593, 65
482.37, 99, 29, 1410, 1593, 66
482.37, 99, 29, 1410, 1593, 66
484.29, 99, 29, 1410, 1593, 66
484.29, 99, 29, 1410, 1593, 66
482.94, 99, 29, 1410, 1593, 66
482.94, 99, 29, 1410, 1593, 66
478.64, 99, 29, 1410, 1593, 66
478.64, 99, 29, 1410, 1593, 66
480.28, 99, 29, 1410, 1593, 66
480.28, 99, 29, 1410, 1593, 66
478.90, 99, 29, 1410, 1593, 66
478.90, 99, 29, 1410, 1593, 66
484.26, 99, 29, 1410, 1593, 66
484.26, 99, 29, 1410, 1593, 66
477.84, 99, 29, 1410, 1593, 66
477.84, 99, 29, 1410, 1593, 66
482.66, 99, 29, 1410, 1593, 66
482.66, 99, 29, 1410, 1593, 66
479.19, 99, 29, 1410, 1593, 66
479.19, 99, 29, 1410, 1593, 66
484.26, 99, 29, 1410, 1593, 66
484.26, 99, 29, 1410, 1593, 66
486.21, 99, 29, 1410, 1593, 66
486.21, 99, 29, 1410, 1593, 66
478.42, 99, 29, 1410, 1593, 66
478.42, 99, 29, 1410, 1593, 66
485.61, 99, 29, 1410, 1593, 66
485.61, 99, 29, 1410, 1593, 66
479.75, 99, 29, 1410, 1593, 66
