153.69, 99, 29, 1410, 1593, 58
153.69, 99, 29, 1410, 1593, 58
153.69, 99, 29, 1410, 1593, 58
362.02, 99, 29, 1410, 1593, 59
362.02, 99, 29, 1410, 1593, 59
420.75, 17, 5, 1410, 1593, 61
420.75, 17, 5, 1410, 1593, 61
426.45, 17, 5, 1410, 1593, 62
426.45, 17, 5, 1410, 1593, 62
421.58, 97, 29, 1410, 1593, 63
421.58, 97, 29, 1410, 1593, 63
420.55, 97, 29, 1410, 1593, 63
420.55, 97, 29, 1410, 1593, 63
426.74, 99, 29, 1410, 1593, 63
426.74, 99, 29, 1410, 1593, 63
426.21, 99, 29, 1410, 1593, 63
426.21, 99, 29, 1410, 1593, 63
426.94, 99, 29, 1410, 1593, 63
426.94, 99, 29, 1410, 1593, 63
425.92, 99, 29, 1410, 1593, 63
425.92, 99, 29, 1410, 1593, 63
428.59, 99, 29, 1410, 1593, 63
428.59, 99, 29, 1410, 1593, 63
424.52, 99, 29, 1410, 1593, 63
424.52, 99, 29, 1410, 1593, 63
428.09, 99, 29, 1410, 1593, 63
428.09, 99, 29, 1410, 1593, 63
430.75, 99, 29, 1410, 1593, 63
430.75, 99, 29, 1410, 1593, 63
422.44, 99, 29, 1410, 1593, 64
422.44, 99, 29, 1410, 1593, 64
425.92, 99, 29, 1410, 1593, 64
425.92, 99, 29, 1410, 1593, 64
424.24, 99, 29, 1410, 1593, 64
424.24, 99, 29, 1410, 1593, 64
426.45, 99, 29, 1410, 1593, 64
426.45, 99, 29, 1410, 1593, 64
423.46, 99, 29, 1410, 1593, 64
423.46, 99, 29, 1410, 1593, 64
427.80, 99, 29, 1410, 1593, 64
427.80, 99, 29, 1410, 1593, 64
429.98, 99, 29, 1410, 1593, 64
429.98, 99, 29, 1410, 1593, 64
426.21, 99, 29, 1410, 1593, 64
426.21, 99, 29, 1410, 1593, 64
426.70, 99, 29, 1410, 1593, 64
426.70, 99, 29, 1410, 1593, 64
421.61, 99, 29, 1410, 1593, 64
421.61, 99, 29, 1410, 1593, 64
425.09, 99, 29, 1410, 1593, 64
425.09, 99, 29, 1410, 1593, 64
420.80, 99, 29, 1410, 1593, 64
420.80, 99, 29, 1410, 1593, 64
425.09, 99, 29, 1410, 1593, 64
425.09, 99, 29, 1410, 1593, 64
422.44, 99, 29, 1410, 1593, 64
422.44, 99, 29, 1410, 1593, 64
427.48, 99, 29, 1410, 1593, 64
427.48, 99, 29, 1410, 1593, 64
424.52, 99, 29, 1410, 1593, 64
424.52, 99, 29, 1410, 1593, 64
426.74, 98, 29, 1410, 1593, 64
426.74, 98, 29, 1410, 1593, 64
427.80, 98, 29, 1410, 1593, 64
427.80, 98, 29, 1410, 1593, 64
423.21, 99, 29, 1410, 1593, 64
423.21, 99, 29, 1410, 1593, 64
432.10, 99, 29, 1410, 1593, 64
432.10, 99, 29, 1410, 1593, 64
427.77, 99, 29, 1410, 1593, 64
427.77, 99, 29, 1410, 1593, 64
427.77, 99, 29, 1410, 1593, 64
427.77, 99, 29, 1410, 1593, 64
426.21, 99, 29, 1410, 1593, 64
426.21, 99, 29, 1410, 1593, 64
422.60, 99, 29, 1410, 1593, 64
422.60, 99, 29, 1410, 1593, 64
426.45, 99, 29, 1410, 1593, 64
426.45, 99, 29, 1410, 1593, 64
424.85, 99, 29, 1410, 1593, 64
424.85, 99, 29, 1410, 1593, 64
424.85, 99, 29, 1410, 1593, 64
424.85, 99, 29, 1410, 1593, 64
422.15, 99, 29, 1410, 1593, 64
422.15, 99, 29, 1410, 1593, 64
426.21, 99, 29, 1410, 1593, 64
426.21, 99, 29, 1410, 1593, 64
424.57, 99, 29, 1410, 1593, 64
424.57, 99, 29, 1410, 1593, 64
425.63, 99, 29, 1410, 1593, 64
425.63, 99, 29, 1410, 1593, 64
423.21, 99, 29, 1410, 1593, 64
423.21, 99, 29, 1410, 1593, 64
424.33, 99, 29, 1410, 1593, 64
424.33, 99, 29, 1410, 1593, 64
428.09, 99, 29, 1410, 1593, 64
428.09, 99, 29, 1410, 1593, 64
420.55, 99, 29, 1410, 1593, 64
420.55, 99, 29, 1410, 1593, 64
428.09, 99, 29, 1410, 1593, 64
428.09, 99, 29, 1410, 1593, 64
425.35, 99, 29, 1410, 1593, 64
