batch_size,rows,columns,smaller_dimension,larger_dimension,aspect_ratio,orientation,cutlass_gram_ms,torch_gram_ms,torch_gram_over_cutlass,cutlass_gns_ms,torch_gns_ms,standard_ns_ms,standard_over_cutlass_gns,torch_gns_over_cutlass_gns
1,256,256,256,256,1.0,square,0.053247999399900436,0.050175998359918594,0.9423076721265966,0.6133759915828705,0.6343680024147034,0.5862399935722351,0.9557596019684296,1.0342237243059695
1,256,512,256,512,2.0,wide,0.05119999870657921,0.03993599861860275,0.7799999927240422,0.7813119888305664,0.7562239766120911,0.5847039818763733,0.7483617175150897,0.9678898921594355
1,256,1024,256,1024,4.0,wide,0.05427199974656105,0.039423998445272446,0.7264150690848746,0.7511039972305298,0.7475199997425079,0.5524480044841766,0.735514664442158,0.9952283605183346
1,256,2048,256,2048,8.0,wide,0.06758400052785873,0.04608000069856644,0.6818181868291718,0.764928013086319,0.7536640167236328,0.5806080102920532,0.7590361450477223,0.9852744360645933
1,512,256,256,512,2.0,tall,0.05222399905323982,0.04044799879193306,0.7745097948301182,0.7833600044250488,0.7577599883079529,0.5836800038814545,0.7450980399616515,0.9673202410481945
1,512,512,512,512,1.0,square,0.05273599922657013,0.03788800165057182,0.7184466437773043,0.5867519974708557,0.4971520006656647,0.4408320039510727,0.7513089104958165,0.8472949437046586
1,512,4096,512,4096,8.0,wide,0.09216000139713287,0.04505600035190582,0.48888888529582347,0.7925759851932526,0.66457599401474,0.5672959983348846,0.7157622851726472,0.8385013001027245
1,1024,256,256,1024,4.0,tall,0.05734400078654289,0.03993599861860275,0.6964285377865485,0.7577599883079529,0.7413759827613831,0.5488640069961548,0.7243243447331466,0.9783783707250701
1,1024,1024,1024,1024,1.0,square,0.058368001133203506,0.044544000178575516,0.7631578829797547,0.6026239991188049,0.6328319907188416,0.5775359869003296,0.9583687137333385,1.0501274287851274
1,1024,8192,1024,8192,8.0,wide,0.14336000382900238,0.11776000261306763,0.8214285677163482,1.0173439979553223,0.8750079870223999,1.2426239848136902,1.2214393433402468,0.8600905777996508
1,2048,256,256,2048,8.0,tall,0.06963200122117996,0.04710400104522705,0.6764705913823346,0.7879680097103119,0.766975998878479,0.6164479851722717,0.7823261573764934,0.9733593108182775
1,2048,2048,2048,2048,1.0,square,0.1085439994931221,0.10905599966645241,1.0047169827509697,1.4269440174102783,1.4658559560775757,1.442304015159607,1.010764260939406,1.0272694220603815
1,2048,16384,2048,16384,8.0,wide,0.46592000126838684,0.5601279735565186,1.2021977421696144,3.697152018547058,4.104192018508911,7.101952075958252,1.9209250905374577,1.1100955540697013
1,4096,256,256,4096,16.0,tall,0.09676800295710564,0.043007999658584595,0.4444444273346093,0.7910400032997131,0.7603200078010559,0.609279990196228,0.7702265216104135,0.961165054396095
1,4096,512,512,4096,8.0,tall,0.09728000313043594,0.048128001391887665,0.49473684049286265,0.7889919877052307,0.6681599915027618,0.5683199763298035,0.7203114672719961,0.8468526954831233
1,4096,1024,1024,4096,4.0,tall,0.09830400347709656,0.08294399827718735,0.8437499526304859,0.839680016040802,0.8064000010490417,0.8191999793052673,0.9756097128140543,0.9603658365615514
1,4096,2048,2048,4096,2.0,tall,0.16230399906635284,0.1955839991569519,1.2050473203497196,1.921023964881897,2.199552059173584,2.3746559619903564,1.236140727758359,1.144989390753806
1,8192,2048,2048,8192,4.0,tall,0.2672639936208725,0.31436800956726074,1.1762452745999437,2.591231942176819,2.906623959541321,3.678208112716675,1.4194823909227974,1.1217150854892404
1,16384,2048,2048,16384,8.0,tall,0.449535995721817,0.5524479746818542,1.2289293403407933,3.6423680782318115,4.069375991821289,7.047679901123047,1.9349169962373338,1.1172335975986174
