batch_size,layout,dimension,inner_dimension,inner_to_output_ratio,cutlass_fused_mirror,cutlass_separate_mirror,torch_full,fused_over_separate,separate_speedup_vs_torch,fused_speedup_vs_torch
1,cr,256,256,1.0,0.05734400078654289,0.04249599948525429,0.043007999658584595,1.3493976252150681,1.0120481969957658,0.7499999837590234
1,cr,256,512,2.0,0.060416001826524734,0.043007999658584595,0.04198399931192398,1.404761958382908,0.9761904679410911,0.6949152218393164
1,cr,256,1024,4.0,0.06656000018119812,0.04915200173854828,0.04095999896526337,1.3541666224551203,0.8333332828058517,0.615384598163414
1,cr,256,2048,8.0,0.0798719972372055,0.062463998794555664,0.04608000069856644,1.278688505036394,0.7377049434526877,0.5769231056250803
1,cr,512,512,1.0,0.060416001826524734,0.04403200000524521,0.04198399931192398,1.3720930645741238,0.9534883563527148,0.6949152218393164
1,cr,512,1024,2.0,0.06656000018119812,0.04966400004923344,0.04044799879193306,1.3402061878869032,0.814432964558548,0.6076922878879261
1,cr,512,2048,4.0,0.0798719972372055,0.062463998794555664,0.04198399931192398,1.278688505036394,0.6721311494963605,0.5256410352083601
1,cr,512,4096,8.0,0.10700799897313118,0.09011200070381165,0.05119999870657921,1.1874999793296661,0.5681817993906055,0.4784688920258672
1,cr,1024,1024,1.0,0.06860800087451935,0.05222399905323982,0.055296000093221664,1.3137255307579343,1.0588235503920351,0.8059701403391031
1,cr,1024,2048,2.0,0.08089599758386612,0.0655359998345375,0.06656000018119812,1.23437496624922,1.0156250053290705,0.8227848369407195
1,cr,1024,4096,4.0,0.10649599879980087,0.09113600105047226,0.0870399996638298,1.1685392992042964,0.9550561650782324,0.817307698362021
1,cr,1024,8192,8.0,0.1669120043516159,0.1515520066022873,0.11776000261306763,1.1013513320852117,0.7770270104182859,0.7055214696541242
1,cr,2048,2048,1.0,0.11161600053310394,0.09728000313043594,0.12185600027441978,1.1473683896108213,1.252631541459056,1.0917431165102425
1,cr,2048,4096,2.0,0.16076800227165222,0.1443839967250824,0.187391996383667,1.113475218294214,1.2978723448172371,1.1656050565772895
1,cr,2048,8192,4.0,0.2590720057487488,0.24319999665021896,0.2949120104312897,1.0652631962053751,1.2126316385416946,1.1383399359531687
1,cr,2048,16384,8.0,0.4613119959831238,0.4423680007457733,0.5631999969482422,1.042824063235617,1.2731481391031048,1.2208657087877806
1,rc,256,256,1.0,0.05632000043988228,0.04198399931192398,0.05222399905323982,1.3414634470967775,1.2439024368602147,0.927272703219975
1,rc,256,512,2.0,0.060416001826524734,0.04198399931192398,0.04249599948525429,1.4390244573333402,1.0121951262795703,0.7033898007232425
1,rc,256,1024,4.0,0.06758400052785873,0.04915200173854828,0.04198399931192398,1.3749999621043887,0.8541666224551202,0.621212106179151
1,rc,256,2048,8.0,0.08089599758386612,0.06195199862122536,0.04710400104522705,1.305785114027788,0.7603306123055207,0.5822785113242915
1,rc,512,512,1.0,0.060416001826524734,0.043007999658584595,0.03993599861860275,1.404761958382908,0.9285714038232732,0.661016906303612
1,rc,512,1024,2.0,0.06707200035452843,0.04915200173854828,0.04095999896526337,1.3645832922797545,0.8333332828058517,0.610687004245549
1,rc,512,2048,4.0,0.08191999793052673,0.062463998794555664,0.04249599948525429,1.3114754020145576,0.6803278737409014,0.5187500068212104
1,rc,512,4096,8.0,0.11161600053310394,0.08908800035715103,0.05119999870657921,1.2528735641796747,0.5747126268556932,0.4587155825512124
1,rc,1024,1024,1.0,0.06860800087451935,0.05222399905323982,0.050175998359918594,1.3137255307579343,0.9607842997386433,0.7313432503548387
1,rc,1024,2048,2.0,0.08243199810385704,0.0655359998345375,0.062463998794555664,1.2578124742428258,0.9531249840127884,0.7577639779622537
1,rc,1024,4096,4.0,0.11110400035977364,0.09216000139713287,0.08396799862384796,1.2055555411832939,0.9111110823665877,0.7557603538301529
1,rc,1024,8192,8.0,0.17561600357294083,0.16281600296497345,0.13926400244235992,1.0786163545036849,0.8553459113740788,0.7930029132254888
1,rc,2048,2048,1.0,0.11059200018644333,0.09881599992513657,0.10956799983978271,1.1191709871906201,1.1088082893741085,0.9907407376217603
1,rc,2048,4096,2.0,0.16076800227165222,0.14796800166368484,0.1745920032262802,1.0865051934475698,1.179930804385051,1.0859872658694194
1,rc,2048,8192,4.0,0.25600001215934753,0.24985599517822266,0.31487999856472015,1.0245902323726206,1.2602459202154257,1.229999935971576
1,rc,2048,16384,8.0,0.45158401131629944,0.45977601408958435,0.5734400153160095,0.9821826225765471,1.2472160307263842,1.2698412719363517
1,rr,256,256,1.0,0.055296000093221664,0.04095999896526337,0.051711998879909515,1.350000036379789,1.2625000045474737,0.935185163352322
1,rr,512,512,1.0,0.058368001133203506,0.04198399931192398,0.04095999896526337,1.390243952215059,0.9756097474408594,0.7017543546126794
1,rr,1024,1024,1.0,0.06656000018119812,0.0506879985332489,0.05427199974656105,1.313131354703973,1.070707096689983,0.8153846093571949
1,rr,2048,2048,1.0,0.11878400295972824,0.10444799810647964,0.11673600226640701,1.1372549509147485,1.11764710078407,0.9827586152824336
8,cr,256,256,1.0,0.05427199974656105,0.04198399931192398,0.04198399931192398,1.2926829419784962,1.0,0.7735848965945704
8,cr,256,512,2.0,0.0578560009598732,0.04198399931192398,0.04095999896526337,1.3780488259354886,0.9756097474408594,0.7079645721395732
