revision,job,cache_state,trials,process_wall_ms_mean,first_call_ms_mean,warm_median_ms_mean,cache_bytes_mean
prototype,2241754,cold_cache,2,33094.4697400555,30104.71433890052,0.5040640234947205,2559762.5
prototype,2241754,warm_process_cache,2,3007.3272997979075,25.53766081109643,0.5053440034389496,2559762.0
production,2241771,cold_cache,2,26883.494624868035,23977.93848346919,0.5038080215454102,1866827.0
production,2241771,warm_process_cache,2,3079.910676460713,24.079018970951438,0.5022720098495483,1866827.0
