scope,operation,batch_size,baseline_ms,candidate_ms,speedup,relative_error,maximum_asymmetry,finite,output_rms,orthogonality_residual
end_to_end,standard_vs_triangular_gns,1,7.095808029174805,3.625983953475952,1.956933102909239,0.00124831753782928,,1.0,0.007831573486328125,0.03540944680571556
end_to_end,standard_vs_triangular_gns,8,52.70886421203613,24.418304443359375,2.158580024845683,0.0007319350843317807,,1.0,0.007831529714167118,0.03543935343623161
end_to_end,standard_vs_triangular_gns,32,224.93132781982422,96.08550643920898,2.340949599533338,0.0007334010442718863,,1.0,0.007831589318811893,0.03543780744075775
primitive_or_core,symmetric_square_baddbmm,1,0.09318400174379349,0.08294399827718735,1.1234568344822908,0.0,0.0,,,
primitive_or_core,symmetric_square_baddbmm,8,0.6113280057907104,0.4044800102710724,1.511392381000519,0.0,0.0,,,
primitive_or_core,symmetric_square_baddbmm,32,2.5349119901657104,1.5124479532241821,1.6760325436401804,0.0,0.0,,,
primitive_or_core,symmetric_gram,1,0.5826560258865356,0.4567039906978607,1.2757848360296031,0.00036985267070122063,0.0,,,
primitive_or_core,symmetric_gram,8,3.9864320755004883,2.3925760984420776,1.6661673073204433,0.0,0.0,,,
primitive_or_core,symmetric_gram,32,18.74073600769043,9.036800384521484,2.0738242752147267,0.0,0.0,,,
primitive_or_core,full_gns_core,1,3.6387840509414673,2.9184000492095947,1.246842101694378,0.0005229203379712999,0.0,,,
primitive_or_core,full_gns_core,8,25.195008277893066,19.049983978271484,1.3225737253443692,0.0002685164217837155,0.0,,,
primitive_or_core,full_gns_core,32,108.16972732543945,73.8493423461914,1.46473514711019,0.0002711848937906325,0.0,,,
